# kapture format: 1.1
# timestamp, device_id, image_path
0, sensor0, query/day/nexus4/IMG_20140520_182846.jpg
0, sensor824, query/night/nexus5x/IMG_20161227_172439.jpg
1, sensor1, query/day/nexus4/IMG_20140520_211432.jpg
1, sensor825, query/night/nexus5x/IMG_20161227_172448.jpg
2, sensor2, query/day/nexus4/IMG_20140521_135037.jpg
2, sensor826, query/night/nexus5x/IMG_20161227_172456.jpg
3, sensor3, query/day/nexus4/IMG_20140521_135047.jpg
3, sensor827, query/night/nexus5x/IMG_20161227_172504.jpg
4, sensor4, query/day/nexus4/IMG_20140521_134943.jpg
4, sensor828, query/night/nexus5x/IMG_20161227_172513.jpg
5, sensor5, query/day/nexus4/IMG_20140521_135321.jpg
5, sensor829, query/night/nexus5x/IMG_20161227_172517.jpg
6, sensor6, query/day/nexus4/IMG_20140521_135225.jpg
6, sensor830, query/night/nexus5x/IMG_20161227_172529.jpg
7, sensor7, query/day/nexus4/IMG_20140520_211801.jpg
7, sensor831, query/night/nexus5x/IMG_20161227_172558.jpg
8, sensor8, query/day/milestone/2011-12-17_14-28-15_257.jpg
8, sensor832, query/night/nexus5x/IMG_20161227_172604.jpg
9, sensor833, query/night/nexus5x/IMG_20161227_172616.jpg
9, sensor9, query/day/nexus4/IMG_20140520_182958.jpg
10, sensor10, query/day/nexus4/IMG_20140521_135040.jpg
10, sensor834, query/night/nexus5x/IMG_20161227_172620.jpg
11, sensor11, query/day/nexus4/IMG_20140521_134826.jpg
11, sensor835, query/night/nexus5x/IMG_20161227_172626.jpg
12, sensor12, query/day/nexus4/IMG_20140520_183007.jpg
12, sensor836, query/night/nexus5x/IMG_20161227_172633.jpg
13, sensor13, query/day/nexus4/IMG_20140520_182943.jpg
13, sensor837, query/night/nexus5x/IMG_20161227_172651.jpg
14, sensor14, query/day/nexus4/IMG_20140520_211910.jpg
14, sensor838, query/night/nexus5x/IMG_20161227_172658.jpg
15, sensor15, query/day/nexus4/IMG_20140521_135650.jpg
15, sensor839, query/night/nexus5x/IMG_20161227_172703.jpg
16, sensor16, query/day/milestone/2011-10-13_15-24-05_816.jpg
16, sensor840, query/night/nexus5x/IMG_20161227_172723.jpg
17, sensor17, query/day/milestone/2011-12-17_14-29-11_706.jpg
17, sensor841, query/night/nexus5x/IMG_20161227_172730.jpg
18, sensor18, query/day/nexus4/IMG_20140521_134821.jpg
18, sensor842, query/night/nexus5x/IMG_20161227_172739.jpg
19, sensor19, query/day/nexus4/IMG_20140520_211723.jpg
19, sensor843, query/night/nexus5x/IMG_20161227_172754.jpg
20, sensor20, query/day/milestone/2011-12-17_15-01-35_152.jpg
20, sensor844, query/night/nexus5x/IMG_20161227_172811.jpg
21, sensor21, query/day/nexus4/IMG_20140520_182904.jpg
21, sensor845, query/night/nexus5x/IMG_20161227_172831.jpg
22, sensor22, query/day/nexus4/IMG_20140520_182849.jpg
22, sensor846, query/night/nexus5x/IMG_20161227_172836.jpg
23, sensor23, query/day/nexus4/IMG_20140521_134925.jpg
23, sensor847, query/night/nexus5x/IMG_20161227_172901.jpg
24, sensor24, query/day/milestone/2011-12-17_14-50-43_241.jpg
24, sensor848, query/night/nexus5x/IMG_20161227_172905.jpg
25, sensor25, query/day/nexus4/IMG_20140521_134908.jpg
25, sensor849, query/night/nexus5x/IMG_20161227_173025.jpg
26, sensor26, query/day/nexus4/IMG_20140521_135013.jpg
26, sensor850, query/night/nexus5x/IMG_20161227_173032.jpg
27, sensor27, query/day/milestone/2011-12-29_15-31-46_760.jpg
27, sensor851, query/night/nexus5x/IMG_20161227_173116.jpg
28, sensor28, query/day/nexus4/IMG_20130302_145312.jpg
28, sensor852, query/night/nexus5x/IMG_20161227_173123.jpg
29, sensor29, query/day/nexus4/IMG_20140520_183040.jpg
29, sensor853, query/night/nexus5x/IMG_20161227_173132.jpg
30, sensor30, query/day/milestone/2011-12-17_14-53-09_639.jpg
30, sensor854, query/night/nexus5x/IMG_20161227_173137.jpg
31, sensor31, query/day/milestone/2011-12-17_14-53-55_436.jpg
31, sensor855, query/night/nexus5x/IMG_20161227_173141.jpg
32, sensor32, query/day/nexus4/IMG_20140521_134950.jpg
32, sensor856, query/night/nexus5x/IMG_20161227_173158.jpg
33, sensor33, query/day/milestone/2011-12-17_14-50-59_577.jpg
33, sensor857, query/night/nexus5x/IMG_20161227_173202.jpg
34, sensor34, query/day/milestone/2011-10-13_15-26-30_438.jpg
34, sensor858, query/night/nexus5x/IMG_20161227_173206.jpg
35, sensor35, query/day/nexus4/IMG_20140520_182925.jpg
35, sensor859, query/night/nexus5x/IMG_20161227_173209.jpg
36, sensor36, query/day/milestone/2011-12-17_15-02-30_957.jpg
36, sensor860, query/night/nexus5x/IMG_20161227_173326.jpg
37, sensor37, query/day/milestone/2011-12-17_14-55-12_175.jpg
37, sensor861, query/night/nexus5x/IMG_20161227_190424.jpg
38, sensor38, query/day/milestone/2012-02-11_15-54-04_6.jpg
38, sensor862, query/night/nexus5x/IMG_20161227_190941.jpg
39, sensor39, query/day/milestone/2011-10-13_15-28-19_661.jpg
39, sensor863, query/night/nexus5x/IMG_20161227_190948.jpg
40, sensor40, query/day/nexus4/IMG_20130210_165919.jpg
40, sensor864, query/night/nexus5x/IMG_20161227_190953.jpg
41, sensor41, query/day/nexus4/IMG_20140521_134324.jpg
41, sensor865, query/night/nexus5x/IMG_20161227_191024.jpg
42, sensor42, query/day/milestone/2012-02-11_15-05-20_118.jpg
42, sensor866, query/night/nexus5x/IMG_20161227_191029.jpg
43, sensor43, query/day/milestone/2011-10-13_15-26-38_609.jpg
43, sensor867, query/night/nexus5x/IMG_20161227_191046.jpg
44, sensor44, query/day/nexus4/IMG_20140520_211951.jpg
44, sensor868, query/night/nexus5x/IMG_20161227_191052.jpg
45, sensor45, query/day/nexus4/IMG_20140520_183030.jpg
45, sensor869, query/night/nexus5x/IMG_20161227_191109.jpg
46, sensor46, query/day/milestone/2011-10-01_14-36-23_370.jpg
46, sensor870, query/night/nexus5x/IMG_20161227_191118.jpg
47, sensor47, query/day/milestone/2011-10-13_15-24-55_789.jpg
47, sensor871, query/night/nexus5x/IMG_20161227_191129.jpg
48, sensor48, query/day/milestone/2012-02-11_16-05-30_275.jpg
48, sensor872, query/night/nexus5x/IMG_20161227_191143.jpg
